warehouse,destination,cost_per_unit
WH01,DEST01,0.21821
WH01,DEST02,0.21821
WH01,DEST03,0.282089
WH01,DEST04,0.21821
WH01,DEST05,0.21821
WH01,DEST06,0.21821
WH01,DEST07,0.21821
WH02,DEST01,0.21821
WH02,DEST02,0.21821
WH02,DEST03,0.21821
WH02,DEST04,0.21821
WH02,DEST05,0.21821
WH02,DEST06,0.21821
WH02,DEST07,0.21821
WH03,DEST01,0.21821
WH03,DEST02,0.21821
WH03,DEST03,0.21821
WH03,DEST04,0.21821
WH03,DEST05,0.21821
WH03,DEST06,0.21821
WH03,DEST07,0.21821
WH04,DEST01,0.21821
WH04,DEST02,0.21821
WH04,DEST03,0.21821
WH04,DEST04,0.21821
WH04,DEST05,0.21821
WH04,DEST06,0.21821
WH04,DEST07,0.21821
WH05,DEST01,0.21821
WH05,DEST02,0.21821
WH05,DEST03,0.21821
WH05,DEST04,0.21821
WH05,DEST05,0.21821
WH05,DEST06,0.21821
WH05,DEST07,0.21821
WH06,DEST01,0.21821
WH06,DEST02,0.21821
WH06,DEST03,0.21821
WH06,DEST04,0.21821
WH06,DEST05,0.21821
WH06,DEST06,0.21821
WH06,DEST07,0.21821
WH07,DEST01,0.21821
WH07,DEST02,0.276998
WH07,DEST03,0.21821
WH07,DEST04,0.21821
WH07,DEST05,0.21821
WH07,DEST06,0.21821
WH07,DEST07,0.21821
WH08,DEST01,0.439005
WH08,DEST02,0.21821
WH08,DEST03,0.21821
WH08,DEST04,0.21821
WH08,DEST05,0.21821
WH08,DEST06,0.21821
WH08,DEST07,0.21821
WH09,DEST01,0.21821
WH09,DEST02,0.21821
WH09,DEST03,0.21821
WH09,DEST04,0.21821
WH09,DEST05,0.47927
WH09,DEST06,0.21821
WH09,DEST07,0.21821
WH10,DEST01,0.21821
WH10,DEST02,0.21821
WH10,DEST03,0.21821
WH10,DEST04,0.21821
WH10,DEST05,0.21821
WH10,DEST06,0.494426
WH10,DEST07,0.21821
WH11,DEST01,0.21821
WH11,DEST02,0.21821
WH11,DEST03,0.21821
WH11,DEST04,0.21821
WH11,DEST05,0.21821
WH11,DEST06,0.21821
WH11,DEST07,0.21821
WH12,DEST01,0.21821
WH12,DEST02,0.21821
WH12,DEST03,0.21821
WH12,DEST04,0.21821
WH12,DEST05,0.21821
WH12,DEST06,0.21821
WH12,DEST07,0.21821
WH13,DEST01,0.21821
WH13,DEST02,0.21821
WH13,DEST03,0.21821
WH13,DEST04,0.21821
WH13,DEST05,0.21821
WH13,DEST06,0.21821
WH13,DEST07,0.21821
WH14,DEST01,0.21821
WH14,DEST02,0.21821
WH14,DEST03,0.543578
WH14,DEST04,0.21821
WH14,DEST05,0.21821
WH14,DEST06,0.21821
WH14,DEST07,0.21821
WH15,DEST01,0.21821
WH15,DEST02,0.21821
WH15,DEST03,0.21821
WH15,DEST04,0.21821
WH15,DEST05,0.21821
WH15,DEST06,0.21821
WH15,DEST07,0.21821
WH16,DEST01,0.21821
WH16,DEST02,0.21821
WH16,DEST03,0.21821
WH16,DEST04,0.21821
WH16,DEST05,0.249301
WH16,DEST06,0.181842
WH16,DEST07,0.21821
WH17,DEST01,0.21821
WH17,DEST02,0.21821
WH17,DEST03,0.21821
WH17,DEST04,0.21821
WH17,DEST05,0.21821
WH17,DEST06,0.21821
WH17,DEST07,0.21821
WH18,DEST01,0.21821
WH18,DEST02,0.21821
WH18,DEST03,0.21821
WH18,DEST04,0.21821
WH18,DEST05,0.21821
WH18,DEST06,0.21821
WH18,DEST07,0.21821
WH19,DEST01,0.21821
WH19,DEST02,0.21821
WH19,DEST03,0.221078
WH19,DEST04,0.21821
WH19,DEST05,0.21821
WH19,DEST06,0.21821
WH19,DEST07,0.21821
