warehouse,destination,shipped_units,cost_per_unit,transportation_cost
WH01,DEST01,1070,0.21821,233.48469999999998
WH02,DEST04,1013,0.21821,221.04673
WH03,DEST04,554,0.21821,120.88834
WH04,DEST04,549,0.21821,119.79728999999999
WH05,DEST04,490,0.21821,106.9229
WH06,DEST04,457,0.21821,99.72197
WH07,DEST04,385,0.21821,84.01084999999999
WH08,DEST04,332,0.21821,72.44572
WH09,DEST04,265,0.21821,57.825649999999996
WH10,DEST04,209,0.21821,45.605889999999995
WH11,DEST04,138,0.21821,30.112979999999997
WH12,DEST04,118,0.21821,25.74878
WH13,DEST04,111,0.21821,24.22131
WH14,DEST04,49,0.21821,10.69229
WH15,DEST04,14,0.21821,3.0549399999999998
WH16,DEST06,11,0.181842,2.000262
WH17,DEST04,11,0.21821,2.4003099999999997
WH18,DEST04,8,0.21821,1.74568
WH19,DEST04,7,0.21821,1.5274699999999999
